Source Name	Material Type	Term Source REF	Characteristics[OrganismPart]	Term Source REF	Characteristics[Organism]	Characteristics[DiseaseState]	Term Source REF	Characteristics[ClinicalInformation]	Characteristics[BioSourceProvider]	Description	Protocol REF	Sample Name	Material Type	Term Source REF	Protocol REF	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASESTATE]	Term Source REF	Factor Value[CELLLINE]	Factor Value[CLINICALINFORMATION]	Factor Value[BIOSOURCEPROVIDER]	Factor Value[ORGANISMPART]	Term Source REF
1A2 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-8119	P-MTAB-1063	1A2 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	1A2-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 1.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 1	A-AFFY-44	P-MTAB-1068	1A2 _SS392785_HG-U133_Plus_2_HCHP-186915_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	1A2 _SS392785_HG-U133_Plus_2_HCHP-186915_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	1A2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
1A2 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-8119	P-MTAB-1063	1A2 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	1A2-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 2.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 2	A-AFFY-44	P-MTAB-1068	1A2 _SS392786_HG-U133_Plus_2_HCHP-186916_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	1A2 _SS392786_HG-U133_Plus_2_HCHP-186916_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	1A2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
1A2 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CRL-8119	P-MTAB-1063	1A2 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	1A2-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 3.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 3	A-AFFY-44	P-MTAB-1068	1A2 _SS392787_HG-U133_Plus_2_HCHP-186917_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	1A2 _SS392787_HG-U133_Plus_2_HCHP-186917_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	1A2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
22Rv1 - Replicate 3	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-2505	P-MTAB-1063	22Rv1 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	22Rv1-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 4.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 4	A-AFFY-44	P-MTAB-1068	22Rv1_SS279821_HG-U133_Plus_2_HCHP-168820_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	22Rv1_SS279821_HG-U133_Plus_2_HCHP-168820_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	22Rv1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
22Rv1 - Replicate 2	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-2505	P-MTAB-1063	22Rv1 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	22Rv1-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 5.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 5	A-AFFY-44	P-MTAB-1068	22Rv1_SS279822_HG-U133_Plus_2_HCHP-168821_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	22Rv1_SS279822_HG-U133_Plus_2_HCHP-168821_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	22Rv1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
22Rv1 - Replicate 1	Cell	The MGED Ontology	Prostate	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 61	ATCC	CatalogNumber: CRL-2505	P-MTAB-1063	22Rv1 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	22Rv1-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 6.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 6	A-AFFY-44	P-MTAB-1068	22Rv1_SS279823_HG-U133_Plus_2_HCHP-168822_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	22Rv1_SS279823_HG-U133_Plus_2_HCHP-168822_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	22Rv1	ICDO: 61	ATCC	Prostate	NCI Thesaurus
5637 - Replicate 1	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-9	P-MTAB-1063	5637 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	5637-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 7.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 7	A-AFFY-44	P-MTAB-1068	5637_SS331429_HG-U133_Plus_2_HCHP-168829_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	5637_SS331429_HG-U133_Plus_2_HCHP-168829_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	5637	ICDO: 67	ATCC	Bladder	NCI Thesaurus
5637 - Replicate 2	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-9	P-MTAB-1063	5637 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	5637-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 8.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 8	A-AFFY-44	P-MTAB-1068	5637_SS331430_HG-U133_Plus_2_HCHP-168830_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	5637_SS331430_HG-U133_Plus_2_HCHP-168830_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	5637	ICDO: 67	ATCC	Bladder	NCI Thesaurus
5637 - Replicate 3	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	ATCC	CatalogNumber: HTB-9	P-MTAB-1063	5637 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	5637-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 9.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 9	A-AFFY-44	P-MTAB-1068	5637_SS331431_HG-U133_Plus_2_HCHP-168831_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	5637_SS331431_HG-U133_Plus_2_HCHP-168831_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	5637	ICDO: 67	ATCC	Bladder	NCI Thesaurus
639V - Replicate 1	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 413	P-MTAB-1063	639V - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	639V-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 10.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 10	A-AFFY-44	P-MTAB-1068	639-V_SS331433_HG-U133_Plus_2_HCHP-172108_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	639-V_SS331433_HG-U133_Plus_2_HCHP-172108_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	639V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
