"PROBEID","SYMBOL","GENENAME"
"1","1007_s_at","DDR1","discoidin domain receptor tyrosine kinase 1"
"2","1007_s_at","MIR4640","microRNA 4640"
"3","1053_at","RFC2","replication factor C subunit 2"
"4","117_at","HSPA6","heat shock protein family A (Hsp70) member 6"
"5","121_at","PAX8","paired box 8"
"6","1255_g_at","GUCA1A","guanylate cyclase activator 1A"
"7","1294_at","UBA7","ubiquitin like modifier activating enzyme 7"
"8","1294_at","MIR5193","microRNA 5193"
"9","1316_at","THRA","thyroid hormone receptor alpha"
"10","1320_at","PTPN21","protein tyrosine phosphatase non-receptor type 21"
"11","1405_i_at","CCL5","C-C motif chemokine ligand 5"
"12","1431_at","CYP2E1","cytochrome P450 family 2 subfamily E member 1"
"13","1438_at","EPHB3","EPH receptor B3"
"14","1487_at","ESRRA","estrogen related receptor alpha"
"15","1494_f_at","CYP2A6","cytochrome P450 family 2 subfamily A member 6"
"16","1552256_a_at","SCARB1","scavenger receptor class B member 1"
"17","1552257_a_at","TTLL12","tubulin tyrosine ligase like 12"
"18","1552258_at","CYTOR","cytoskeleton regulator RNA"
"19","1552261_at","WFDC2","WAP four-disulfide core domain 2"
"20","1552263_at","MAPK1","mitogen-activated protein kinase 1"
"21","1552264_a_at","MAPK1","mitogen-activated protein kinase 1"
"22","1552266_at","ADAM32","ADAM metallopeptidase domain 32"
"23","1552269_at","SPATA17","spermatogenesis associated 17"
"24","1552271_at","PRR22","proline rich 22"
"25","1552272_a_at","PRR22","proline rich 22"
"26","1552274_at","PXK","PX domain containing serine/threonine kinase like"
"27","1552275_s_at","PXK","PX domain containing serine/threonine kinase like"
"28","1552276_a_at","VPS18","VPS18 core subunit of CORVET and HOPS complexes"
"29","1552277_a_at","MSANTD3","Myb/SANT DNA binding domain containing 3"
"30","1552278_a_at","SLC46A1","solute carrier family 46 member 1"
"31","1552279_a_at","SLC46A1","solute carrier family 46 member 1"
"32","1552280_at","TIMD4","T cell immunoglobulin and mucin domain containing 4"
"33","1552281_at","SLC39A5","solute carrier family 39 member 5"
"34","1552283_s_at","ZDHHC11","zinc finger DHHC-type containing 11"
"35","1552283_s_at","ZDHHC11B","zinc finger DHHC-type containing 11B"
"36","1552286_at","ATP6V1E2","ATPase H+ transporting V1 subunit E2"
"37","1552287_s_at","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene"
"38","1552288_at","CILP2","cartilage intermediate layer protein 2"
"39","1552289_a_at","CILP2","cartilage intermediate layer protein 2"
"40","1552291_at","PIGX","phosphatidylinositol glycan anchor biosynthesis class X"
"41","1552293_at","TMEM196","transmembrane protein 196"
"42","1552295_a_at","SLC39A13","solute carrier family 39 member 13"
"43","1552296_at","BEST4","bestrophin 4"
"44","1552299_at","AK9","adenylate kinase 9"
"45","1552301_a_at","CORO6","coronin 6"
"46","1552302_at","TMEM106A","transmembrane protein 106A"
"47","1552303_a_at","TMEM106A","transmembrane protein 106A"
"48","1552304_at","ALG10","ALG10 alpha-1,2-glucosyltransferase"
"49","1552306_at","ALG10","ALG10 alpha-1,2-glucosyltransferase"
"50","1552307_a_at","TTC39C","tetratricopeptide repeat domain 39C"
"51","1552309_a_at","NEXN","nexilin F-actin binding protein"
"52","1552310_at","C15orf40","chromosome 15 open reading frame 40"
"53","1552311_a_at","RAX2","retina and anterior neural fold homeobox 2"
"54","1552312_a_at","MFAP3","microfibril associated protein 3"
"55","1552314_a_at","EYA3","EYA transcriptional coactivator and phosphatase 3"
"56","1552315_at","GIMAP1","GTPase, IMAP family member 1"
"57","1552316_a_at","GIMAP1","GTPase, IMAP family member 1"
"58","1552318_at","GIMAP1","GTPase, IMAP family member 1"
"59","1552319_a_at","KLK8","kallikrein related peptidase 8"
"60","1552320_a_at","CCDC65","coiled-coil domain containing 65"
"61","1552321_a_at","CCDC65","coiled-coil domain containing 65"
"62","1552322_at","FAM122C","family with sequence similarity 122C"
