"","ID","Entrez","Symbol","Name"
"1","7892501","NA","NA","NA"
"2","7892502","NA","NA","NA"
"3","7892503","NA","NA","NA"
"4","7892504","NA","NA","NA"
"5","7892505","NA","NA","NA"
"6","7892506","NA","NA","NA"
"7","7892507","NA","NA","NA"
"8","7892508","NA","NA","NA"
"9","7892509","NA","NA","NA"
"10","7892510","NA","NA","NA"
"11","7892511","NA","NA","NA"
"12","7892512","NA","NA","NA"
"13","7892513","NA","NA","NA"
"14","7892514","NA","NA","NA"
"15","7892515","NA","NA","NA"
"16","7892516","NA","NA","NA"
"17","7892517","NA","NA","NA"
"18","7892518","NA","NA","NA"
"19","7892519","NA","NA","NA"
"20","7892520","NA","NA","NA"
"21","7892521","NA","NA","NA"
"22","7892522","NA","NA","NA"
"23","7892524","NA","NA","NA"
"24","7892525","NA","NA","NA"
"25","7892526","NA","NA","NA"
"26","7892527","NA","NA","NA"
"27","7892528","NA","NA","NA"
"28","7892529","NA","NA","NA"
"29","7892530","NA","NA","NA"
"30","7892531","NA","NA","NA"
"31","7892532","NA","NA","NA"
"32","7892533","NA","NA","NA"
"33","7892534","NA","NA","NA"
"34","7892535","NA","NA","NA"
"35","7892537","NA","NA","NA"
"36","7892538","NA","NA","NA"
"37","7892539","NA","NA","NA"
"38","7892540","NA","NA","NA"
"39","7892541","NA","NA","NA"
"40","7892542","NA","NA","NA"
"41","7892543","NA","NA","NA"
"42","7892544","NA","NA","NA"
"43","7892545","NA","NA","NA"
"44","7892547","NA","NA","NA"
"45","7892548","NA","NA","NA"
"46","7892549","NA","NA","NA"
"47","7892550","NA","NA","NA"
"48","7892551","NA","NA","NA"
"49","7892552","NA","NA","NA"
"50","7892553","NA","NA","NA"
"51","7892554","NA","NA","NA"
"52","7892555","NA","NA","NA"
"53","7892556","NA","NA","NA"
"54","7892557","NA","NA","NA"
"55","7892558","NA","NA","NA"
"56","7892559","NA","NA","NA"
"57","7892560","NA","NA","NA"
"58","7892561","NA","NA","NA"
"59","7892562","NA","NA","NA"
"60","7892563","NA","NA","NA"
"61","7892564","NA","NA","NA"
"62","7892565","NA","NA","NA"
"63","7892566","NA","NA","NA"
"64","7892567","NA","NA","NA"
"65","7892568","NA","NA","NA"
"66","7892569","NA","NA","NA"
"67","7892570","NA","NA","NA"
"68","7892571","NA","NA","NA"
"69","7892572","NA","NA","NA"
"70","7892573","NA","NA","NA"
"71","7892574","NA","NA","NA"
"72","7892575","NA","NA","NA"
"73","7892576","NA","NA","NA"
"74","7892577","NA","NA","NA"
"75","7892578","NA","NA","NA"
"76","7892579","NA","NA","NA"
"77","7892580","NA","NA","NA"
"78","7892581","NA","NA","NA"
"79","7892582","NA","NA","NA"
"80","7892583","NA","NA","NA"
"81","7892584","NA","NA","NA"
"82","7892585","NA","NA","NA"
"83","7892586","NA","NA","NA"
"84","7892587","NA","NA","NA"
"85","7892588","NA","NA","NA"
"86","7892589","NA","NA","NA"
"87","7892590","NA","NA","NA"
"88","7892591","NA","NA","NA"
"89","7892592","NA","NA","NA"
"90","7892593","NA","NA","NA"
"91","7892594","NA","NA","NA"
"92","7892595","NA","NA","NA"
"93","7892596","NA","NA","NA"
"94","7892597","NA","NA","NA"
"95","7892598","NA","NA","NA"
"96","7892599","NA","NA","NA"
"97","7892600","NA","NA","NA"
"98","7892602","NA","NA","NA"
"99","7892603","NA","NA","NA"
"100","7892604","NA","NA","NA"
"101","7892605","NA","NA","NA"
"102","7892606","NA","NA","NA"
"103","7892608","NA","NA","NA"
"104","7892609","NA","NA","NA"
"105","7892610","NA","NA","NA"
"106","7892611","NA","NA","NA"
"107","7892612","NA","NA","NA"
"108","7892613","NA","NA","NA"
"109","7892614","NA","NA","NA"
"110","7892615","NA","NA","NA"
"111","7892616","NA","NA","NA"
"112","7892617","NA","NA","NA"
"113","7892618","NA","NA","NA"
"114","7892619","NA","NA","NA"
"115","7892620","NA","NA","NA"
"116","7892621","NA","NA","NA"
"117","7892622","NA","NA","NA"
"118","7892623","NA","NA","NA"
"119","7892624","NA","NA","NA"
"120","7892625","NA","NA","NA"
"121","7892626","NA","NA","NA"
"122","7892627","NA","NA","NA"
"123","7892628","NA","NA","NA"
"124","7892629","NA","NA","NA"
"125","7892630","NA","NA","NA"
"126","7892631","NA","NA","NA"
"127","7892632","NA","NA","NA"
"128","7892633","NA","NA","NA"
"129","7892634","NA","NA","NA"
"130","7892635","NA","NA","NA"
"131","7892636","NA","NA","NA"
"132","7892637","NA","NA","NA"
"133","7892638","NA","NA","NA"
"134","7892639","NA","NA","NA"
"135","7892641","NA","NA","NA"
"136","7892642","NA","NA","NA"
"137","7892643","NA","NA","NA"
"138","7892644","NA","NA","NA"
"139","7892645","NA","NA","NA"
"140","7892646","NA","NA","NA"
"141","7892647","NA","NA","NA"
"142","7892648","NA","NA","NA"
"143","7892649","NA","NA","NA"
"144","7892650","NA","NA","NA"
"145","7892651","NA","NA","NA"
"146","7892652","NA","NA","NA"
"147","7892653","NA","NA","NA"
"148","7892654","NA","NA","NA"
"149","7892655","NA","NA","NA"
"150","7892656","NA","NA","NA"
"151","7892657","NA","NA","NA"
"152","7892658","NA","NA","NA"
"153","7892659","NA","NA","NA"
"154","7892660","NA","NA","NA"
"155","7892661","NA","NA","NA"
"156","7892662","NA","NA","NA"
"157","7892663","NA","NA","NA"
